VBG_IN
living inside
passing through
tapping out
running out
looking in
putting in
asking if
getting in
fucking out
talking bout
stepping out
trippin off
staying in
sitting in
moving through
snowing in
spilling out
flying over
looking out
going out
standing inside
chilling in
being in
coursing through
strolling in
going by
driving by
going through
balling in
running through
blacking out
looking through
wondering if
sleeping in
talking dough
floating in
coming out
drinking out
coming over
going in
staying out
sneaking in
resting in
going about
riding in
talking 'bout
fucking in
riding through
standing in
coming through
coming in
yelling out
walking out
fitting in
looking in
